playlist,track_id,track_name,artist,album,duration_ms,release_date,popularity
Mal🤍,5ywUGy9ksbQ6p7bskn6K9f,Mazhaneer Thullikal (Male),Unni Menon,Beautiful (Original Motion Picture Soundtrack),256000,2011-07-01,0
Mal🤍,6EI2NUkxwuZuGKfJ9BB7PJ,Chinnamma Adi,Jim,Oppam (Original Motion Picture Soundtrack),246040,2016-07-22,0
Mal🤍,5f3jevm2GfoEbkpXDhNJ9G,"Kannil Minnum - From ""Meppadiyan""",Rahul Subrahmanian,"Kannil Minnum (From ""Meppadiyan"")",238481,2021-04-08,0
Mal🤍,1PFjjJEjIw9dWSSErN4ywR,Shwasame,K. S. Harisankar,Santhosham,295358,2023-01-13,0
Mal🤍,0H8EERH7ifKwQR2t7NO0p1,Etho Saayaana,Gopi Sundar,10:30 A.M. Local Call (Original Motion Picture Soundtrack),294604,2012-12-28,0
Mal🤍,1yioABzRG4WFEkO98WV5l7,Neeye Punchiri - One Side Love,Jakes Bejoy,Lokah - Chapter 1: Chandra (Original Motion Picture Soundtrack),254823,2025-09-19,0
Mal🤍,7gX2JJVKndYEVApM5GRtqZ,"Thani Lokah Murakkaari (From ""Lokah - Chapter 1: Chandra"")",Jakes Bejoy,"Thani Lokah Murakkaari (From ""Lokah - Chapter 1: Chandra"")",231478,2025-08-20,0
Mal🤍,4uMPTtsUaxMhcP4oXQh04p,Kiliye Kiliye - RHYTHOM Version,RHYTHOM,Kiliye Kiliye - RHYTHOM Version,166743,2024-03-18,0
Mal🤍,0WW5RwxCofx9vPQWOIcahc,"Queen Of The Night (From ""Lokah - Chapter 1: Chandra"")",Jakes Bejoy,"Queen Of The Night (From ""Lokah - Chapter 1: Chandra"")",209764,2025-09-18,0
Mal🤍,2kpfmXe5dI5ePEc5SUO7xJ,"Shoka Mookam (From ""Lokah - Chapter 1: Chandra"")",JK,"Shoka Mookam (From ""Lokah - Chapter 1: Chandra"")",248303,2025-09-02,0
Mal🤍,5EZct1YuUNVugp4mtK5qVz,Pichavecha Naal,Deepak Dev,Puthiyamugham (Original Motion Picture Soundtrack),272040,2009-05-12,0
Mal🤍,2Uyj6K6mSaFTZsPvov415i,KALYANI,ARJN,KALYANI,234489,2025-11-11,0
Mal🤍,66zeybS9eujH1r0G03b4SO,Kanninima Neele,Gopi Sundar,Anwar (Original Motion Picture Soundtrack),232986,2010-03-02,0
Mal🤍,7m8j6syMsmgtxPcutFNB80,Vaathilil,Gopi Sundar,Ustad Hotel (Original Motion Picture Soundtrack),369893,2012-12-14,0
Mal🤍,2MmX4paWwo0iTCfqfv75lj,"Arikathayaaro - Version, 1",Ouseppachan,Bodyguard (Original Motion Picture Soundtrack),247145,2009,0
Mal🤍,5KwiqH6tWfP5AQF1dayRJU,Raave,Haricharan,Iyobinte Pusthakam,273110,2014-10-14,0
Mal🤍,27e6xvRx9CiwEaHSwhQq64,Mounam Chorum Neram,Rinu Razak,Ohm Shanthi Oshaana (Original Motion Picture Soundtrack),191489,2014-01-27,0
Mal🤍,5SkK1VGwHEnt02r5rbMTZC,Olathumbathu,S. Janaki,Pappayude Swantham Appoos (Original Motion Picture Soundtrack),283585,1992-11-18,0
Mal🤍,5T0SsZ4ZUKIerEkIys5IvV,Sneham Cherum Neram,Rinu Razak,Ohm Shanthi Oshaana (Original Motion Picture Soundtrack),191489,2014-01-27,0
Mal🤍,2LzLaaGYFBzg7esTGqmpDR,"Vellarathaaram (From ""Sarvam Maya"")",Justin Prabhakaran,"Vellarathaaram (From ""Sarvam Maya"")",279600,2025-12-23,0
Mal🤍,1BuUtMcQoplYtoiRUTLWTa,PANIPAALI,NJ,PANIPAALI,220400,2020-06-28,0
Mal🤍,3Pd5vck1SFioGlyZekLuQ1,Karimizhi Kuruviye - Duet Version,Vidyasagar,Meesamadhavan (Original Motion Picture Soundtrack),303066,2002-06-16,0
Mal🤍,0sKdYbXXm2U4WFN4r430Y8,Ariyathe Ariyathe - Duet,P. Jayachandran,Ravanaprabhu (Original Motion Picture Soundtrack),332777,2014-06-26,0
Mal🤍,7p7SD0dLoxlGYAvyBRJSMv,Anuraaga Vilochananaayi,Vidyasagar,Neelathamara (Original Motion Picture Soundtrack),285960,2009,0
Mal🤍,1DM1NirXSv1JGWwdv4OzXy,Ente Thenkasi,Suresh Peters,Thenkasipattanam (Original Motion Picture Soundtrack),307773,2000,0
Mal🤍,2u3FMxaDvAg3v4SM7ErXrS,Kolakuzhal Vili Ketto,M. Jayachandran,Nivedyam (Original Motion Picture Soundtrack),271680,2007,0
Mal🤍,6QrkhqlPs6jQZe1KpKbWBb,Ente Ellaam Ellaam Alle,Vidyasagar,Meesamadhavan (Original Motion Picture Soundtrack),333066,2002-06-16,0
Mal🤍,6YAzsgOtwhd4X3q9sferLd,Parayaathe Ariyaathe - Duet Version,Deepak Dev,Udayananu Tharam (Original Motion Picture Soundtrack),384840,2005-02-05,0
Mal🤍,0RbDkRC25E4B7tQD7uJ4oq,Chendhaarmizhi,M. Jayachandran,Perumazhakaalam (Original Motion Picture Soundtrack),284560,2004-04-21,0
Mal🤍,4AYEhvizHbrK6bR9hZczEJ,Chemboove Poove,Ilaiyaraaja,Kaalapani (Original Motion Picture Soundtrack),345496,1996-04-01,0
Mal🤍,4yFIiVAmKnkE8FbNBELVdg,Thankathinkal,K. S. Chithra,Indraprastham (Original Motion Picture Soundtrack),301493,1996-08-23,0
Mal🤍,4XsiCkiU0DdCAipHsESsTt,Ethrayo Janmamaai,Vidyasagar,Summer In Bathlehem (Original Motion Picture Soundtrack),325333,2003-06-11,0
Mal🤍,270SLm7mRAXWSP8PT88LSf,Enthinu Veroru,Raveendran,Mazhayethum Munpe (Original Motion Picture Soundtrack),305093,2003-06-27,0
Mal🤍,5kW9l68v4PIM6XrgROGaMB,Palavattom Pookkaalam,K. J. Yesudas,Manichitrathazhu (Original Motion Picture Soundtrack),111200,1993-12-25,0
Mal🤍,3hwJI26IpuhURktApCG3qr,Vellithinkal,K. J. Yesudas,Meleparambil Aanveedu (Orginal Motion Picture Soundtrack),255111,2015-11-11,0
Mal🤍,7qRB4NN57qCNPWrtVLjO6L,Chumma Chumma Karayathedo - Male Vocals,K. J. Yesudas,Oliympian Anthony Aadam (Original Motion Picture Soundtrack),262115,2014-06-30,0
Mal🤍,4tpG1QfuKm0oIyQ7ud7Iyy,Mandhaaracheppundo,Johnson,Dhasaradham (Original Motion Picture Soundtrack),275133,2008-06-07,0
Mal🤍,1GME3XscDjB6Bq1UeKzdwQ,"Nila Paithale (From ""Olympian Anthony Adam"")",K. J. Yesudas,Best of K. J. Yesudas & Kaithapram,300150,2015-05-08,0
Mal🤍,7gghkA56Jqqt9cVHuFIVkk,"Vennila Chandanakkinnam - Version, 01",Vidyasagar,Azhakiyaravanan (Original Motion Picture Soundtrack),313906,2003-06-06,0
Mal🤍,2HHRRw8FTcgnnBW0BHjbIi,"Aavanipponnoonjaal - Version, 02",Berny-Ignatius,Kottaaram Veettil Apputtan (Original Motion Picture Soundtrack),264840,2003-04-15,0
Mal🤍,5sASd6ctoZ5eYpDfQibv1I,Nilavinte,M. G. Sreekumar,Agnidevan (Orginal Motion Picture Soundtrack),274886,2015-10-31,0
Mal🤍,1CFXoc21KmzD5Jogbb4Lx2,Manimuttathaavani,Vidyasagar,Dreams (Original Motion Picture Soundtrack),294866,2001-02-12,0
Mal🤍,6lQEYHRjB4YDc7rCmAb1We,Dhil Dhil Salam Salam,M. G. Sreekumar,Sharja to Sharja (Original Motion Picture Soundtrack),352966,2018-09-16,0
Mal🤍,3iscTD4YhmfAw5m3jRDPR8,Thattum Muttum,Deepak Dev,Puthiyamugham (Original Motion Picture Soundtrack),312560,2009-05-12,0
Mal🤍,7jafNIuovMDjkGQI1sqqES,Velmuruka (Remix),M. G. Sreekumar,Naran,275965,2007-03-22,0
Mal🤍,3idKTJAtKQxzoMIvn7jeoj,Sona Sona (Kalabhavan Mani),Kalabhavan Mani,Ben Johnson,286491,2005-06-01,0
Mal🤍,72muYQk5b5KPnxkhZWoKb7,Aalolam,Shaan Rahman,Love Action Drama,256827,2019-09-03,0
Mal🤍,0WGZNNJzKRZJrRr7aasepC,Vaathil Melle,Rajesh Murugesan,Neram (Original Motion Picture Soundtrack),280760,2013-05-03,0
Mal🤍,7zpXvT9cxrxPealCnxgUwN,Uyiril Thodum,Sushin Shyam,Kumbalangi Nights (Original Motion Picture Soundtrack),234928,2019-01-28,0
Mal🤍,2Mtf321A4lO23YoELXvNKI,Mel Mel,Gopi Sundar,Ustad Hotel (Original Motion Picture Soundtrack),311484,2012-12-14,0
